source	id	tag	value	candidate	error
bsz	030612306	020.9	0-521-458-75-70-5	052145875705	E_LEN
bsz	058451404	020.9	471-37110-6	471371106	E_LEN
bsz	028383125	020.9	0-226-1442-2	022614422	E_LEN
bsz	393653277	020.z	epub	NA	E_MISS
bsz	314688145	020.9	978-3-89942-1407-7	97838994214077	E_LEN
bsz	294342176	776.z	10.1002/(ISSN)14778696	NA	E_MISS
bsz	274285320	020.9	1-800-842-6796	18008426796	E_LEN
bsz	034688102	020.9	9-06-182-255-	906182255	E_LEN
bsz	254939015	020.9	3-9801514-11-9	39801514119	E_LEN
bsz	116293950	020.z	351585920	NA	E_MISS
bsz	105252824	020.z	391001160	NA	E_MISS
bsz	033323550	020.z	380210093	NA	E_MISS
bsz	022090975	020.z	382024318	NA	E_MISS
bsz	055934552	020.9	3-92797-29-1	392797291	E_LEN
bsz	120889625	020.z	978038724969	978038724969	E_LEN
bsz	274285320	020.z	18008426796	18008426796	E_LEN
bsz	098293028	020.z	076580097	NA	E_MISS
bsz	259695580	020.z	22182585X	NA	E_MISS
bsz	031282164	020.9	3-927873-16-05	39278731605	E_LEN
bsz	027634116	020.z	207531120	NA	E_MISS
bsz	28755581X	020.z	978386802017	978386802017	E_LEN
bsz	099820552	020.9	963-0100-7	96301007	E_LEN
bsz	006504337	020.z	340931416	NA	E_MISS
bsz	252043227	020.9	978-8309-1517-1	978830915171	E_LEN
bsz	348698976	020.9	978-3-834-1558-3	978383415583	E_LEN
bsz	336221754	020.z	978889035420	978889035420	E_LEN
bsz	252512677	020.9	89-176-321-4	891763214	E_LEN
bsz	080378366	020.z	378761514	NA	E_MISS
bsz	383459702	020.9	978-86243-46-3	97886243463	E_LEN
bsz	046239618	020.9	3-17-13924-X	31713924X	E_LEN
bsz	033323550	020.9	3-8021-009-3	380210093	E_LEN
bsz	108289958	020.9	3-921-533-96-	392153396	E_LEN
bsz	277897777	020.z	97884810915236	97884810915236	E_LEN
bsz	035175265	020.9	3-7052-080-9	370520809	E_LEN
bsz	06326210X	020.9	3-7757-710-7	377577107	E_LEN
bsz	006110061	020.z	377019341	NA	E_MISS
bsz	105307742	020.9	80-86-690-02-	808669002	E_LEN
bsz	250658534	020.z	812615185	NA	E_MISS
bsz	272870439	020.9	978-85498-189-3	978854981893	E_LEN
bsz	030803152	020.9	5-85-035-003-	585035003	E_LEN
bsz	067328423	020.z	344738381	NA	E_MISS
bsz	258378069	020.9	1-86064-635-20	18606463520	E_LEN
bsz	077056639	020.9	0-965852-0-9	096585209	E_LEN
bsz	083772502	020.z	0421620005X	0421620005X	E_LEN
bsz	056005873	020.9	3-8744-159-6	387441596	E_LEN
bsz	07931919X	020.9	3-88895-12-0	388895120	E_LEN
bsz	35262292X	020.z	97835790066943	97835790066943	E_LEN
bsz	011393661	020.z	471791687	NA	E_MISS
bsz	004671465	020.z	353323818	NA	E_MISS
bsz	013719831	020.9	3-215-6424-3	321564243	E_LEN
bsz	324890958	776.z	97835980232103	97835980232103	E_LEN
bsz	11206602X	020.z	963929046	NA	E_MISS
bsz	117180432	020.z	97852161304	97852161304	E_LEN
bsz	029271363	020.9	2-04-15383-7f	204153837	E_LEN
bsz	095239146	020.z	502029752	NA	E_MISS
bsz	312600429	020.z	82925880207	82925880207	E_LEN
bsz	039708365	020.z	295034843	NA	E_MISS
bsz	356438279	020.z	817124887	NA	E_MISS
bsz	107359006	020.z	390094417	NA	E_MISS
bsz	255752482	020.9	978-0-19-926029	978019926029	E_LEN
bsz	052891895	020.9	3-922220-18-15	39222201815	E_LEN
bsz	118883240	020.9	13-978-3-540-	139783540	E_LEN
bsz	032055838	020.9	87-690-523-0	876905230	E_LEN
bsz	034523642	020.9	3-7785-0868	377850868	E_LEN
bsz	068738005	020.9	91-700-073-9	917000739	E_LEN
bsz	252071174	020.9	9986-6145-14-3	99866145143	E_LEN
bsz	267160127	020.z	566075997	NA	E_MISS
bsz	11192913X	020.9	3-515-084777-0	35150847770	E_LEN
bsz	006147879	020.9	951-41-303-3	951413033	E_LEN
bsz	275569624	020.z	M014013325	NA	E_MISS
bsz	050454943	020.z	830404118	NA	E_MISS
bsz	027309851	020.z	83229570Xf	NA	E_MISS
bsz	021802734	020.z	359673839	NA	E_MISS
bsz	017347181	020.9	0-387-935583-5	03879355835	E_LEN
bsz	011209763	020.9	12-085560-7	120855607	E_LEN
bsz	324300743	020.z	041569368	NA	E_MISS
bsz	280845510	020.9	5-7510-0401-09	57510040109	E_LEN
bsz	37084548X	020.9	7-80022-712	780022712	E_LEN
bsz	053558898	020.9	2-13-046113-	213046113	E_LEN
bsz	09671347X	020.z	211091645	NA	E_MISS
bsz	250888254	020.z	978295156125	978295156125	E_LEN
bsz	257821635	020.z	888082230	NA	E_MISS
bsz	118173243	020.z	978770541980	978770541980	E_LEN
bsz	019853637	020.z	342350659	NA	E_MISS
bsz	257942467	020.9	0-203-3990-6	020339906	E_LEN
bsz	371796334	020.z	31007262037	31007262037	E_LEN
bsz	30619662X	020.9	83-04-260-6	83042606	E_LEN
bsz	253030412	020.9	3-811-3056-4	381130564	E_LEN
bsz	251146405	020.9	3-89331-638-68	38933163868	E_LEN
bsz	262589567	020.z	97822090353822	97822090353822	E_LEN
bsz	049664409	020.9	3-900-325-45-	390032545	E_LEN
bsz	051173158	020.z	349213125	NA	E_MISS
bsz	355374420	020.9	(70-216)	NA	E_MISS
bsz	305117130	020.z	832140863	NA	E_MISS
bsz	357386108	020.z	245594949	NA	E_MISS
bsz	098217933	020.z	392153389	NA	E_MISS
bsz	012844837	020.z	019504261	NA	E_MISS
bsz	01650013X	020.9	3-88-302-096-	388302096	E_LEN
bsz	364778547	020.9	978-2-88474-127	978288474127	E_LEN
bsz	391757172	020.9	978-1-934969-456-8	97819349694568	E_LEN
bsz	266776337	020.z	717802353	NA	E_MISS
bsz	012808857	020.9	3-92181-29-1	392181291	E_LEN
bsz	112481752	020.9	-0-8191-1090-	081911090	E_LEN
bsz	121571939	020.9	9783-908255-2	97839082552	E_LEN
bsz	280867514	020.9	3-978-37775-0029-4	39783777500294	E_LEN
bsz	098485644	020.z	354043269	NA	E_MISS
bsz	029291089	020.z	286276207	NA	E_MISS
bsz	256484406	020.9	978-936618-91-4	978936618914	E_LEN
bsz	257201998	020.9	3-423-5402-6	342354026	E_LEN
bsz	013893653	020.9	3-92757-09-7	392757097	E_LEN
bsz	362121265	020.9	981-4317-95-	981431795	E_LEN
bsz	117180432	020.9	978-521-61304	97852161304	E_LEN
bsz	31344014X	020.9	978-3-9502303-8	978395023038	E_LEN
bsz	304624918	020.9	A 5121	NA	E_MISS
bsz	103825088	020.z	97397258315	97397258315	E_LEN
bsz	07565248X	020.z	881500049	NA	E_MISS
bsz	120819171	020.z	978405802049	978405802049	E_LEN
bsz	276054547	776.z	02039374655	02039374655	E_LEN
bsz	112147224	020.9	3-85316-18-2	385316182	E_LEN
bsz	001829696	020.9	444-10031-8	444100318	E_LEN
bsz	045045593	020.9	3-529-1175-4	352911754	E_LEN
bsz	307699420	020.9	978-88-317-9803	978883179803	E_LEN
bsz	064304590	020.9	3-933-707-07-	393370707	E_LEN
bsz	066151104	020.z	328028087	NA	E_MISS
bsz	018256708	020.9	963-05-3820-	963053820	E_LEN
bsz	058727094	020.z	392797313	NA	E_MISS
bsz	003191990	020.z	471610909	NA	E_MISS
bsz	05776879X	020.9	3-87214-51-6	387214516	E_LEN
bsz	055178227	020.9	972-1-0303-7	972103037	E_LEN
bsz	03130463X	020.9	3-76180-11-X	37618011X	E_LEN
bsz	257201998	020.z	342354026	NA	E_MISS
bsz	021996059	020.9	3-473-1763-1	347317631	E_LEN
bsz	04673290X	020.z	287980486	NA	E_MISS
bsz	084198532	020.9	3-888997-103-9	38889971039	E_LEN
bsz	11697964X	020.9	978-387-25767-9	978387257679	E_LEN
bsz	001654209	020.z	340073438	NA	E_MISS
bsz	275482219	020.a	0.8256.4072.5	NA	E_MISS
bsz	04604826X	020.9	0-89397--374-	089397374	E_LEN
bsz	331869071	020.z	72210265	NA	E_MISS
bsz	01657494X	020.9	3-7755-210-7	377552107	E_LEN
bsz	261320696	020.z	978881204347	978881204347	E_LEN
bsz	121478289	020.z	978894049393	978894049393	E_LEN
bsz	275485560	020.z	355205736	NA	E_MISS
bsz	075716356	020.z	52300907073	52300907073	E_LEN
bsz	012584576	020.z	392535738f	NA	E_MISS
bsz	104364998	020.9	3-89991-00-1	389991001	E_LEN
bsz	005180295	020.z	349204423	NA	E_MISS
bsz	302981780	020.z	978883179447	978883179447	E_LEN
bsz	322807972	020.z	978344761971	978344761971	E_LEN
bsz	010000992	020.9	3-92160-35-9	392160359	E_LEN
bsz	024695769	020.z	386050063	NA	E_MISS
bsz	078575435	020.9	3-980-2395-6-	398023956	E_LEN
bsz	108751171	020.9	978-3-8085-1544-D	978380851544	E_LEN
bsz	05192952X	020.z	290395056	NA	E_MISS
bsz	05953205X	020.9	3-8035-00474-0	38035004740	E_LEN
bsz	07565248X	020.9	88-15-000-49-	881500049	E_LEN
bsz	25501922X	020.z	978934038639	978934038639	E_LEN
bsz	087912740	020.9	9-33679-41-9	933679419	E_LEN
bsz	283822988	020.z	9783901.9037	NA	E_MISS
bsz	325116989	020.9	978-0-089797-356-4	97800897973564	E_LEN
bsz	359534333	776.z	97890.27271389	NA	E_MISS
bsz	119352370	020.9	978-0521-8466	97805218466	E_LEN
bsz	265069459	020.9	970-32-04775-5	97032047755	E_LEN
bsz	27301420X	020.9	978-02-033734-3	978020337343	E_LEN
bsz	057960771	020.9	3-931-828-38	393182838	E_LEN
bsz	003485854	020.9	3-7001-003-5	370010035	E_LEN
bsz	018030998	020.9	3-8100-797-8	381007978	E_LEN
bsz	091669588	020.9	3-921-533-78-	392153378	E_LEN
bsz	304739758	020.9	8371-2120-5	837121205	E_LEN
bsz	381456250	020.9	978-9974-0840-3	978997408403	E_LEN
bsz	013621297	020.9	3-7013-686-9	370136869	E_LEN
bsz	002111675	020.9	88-271-00117-8	88271001178	E_LEN
bsz	261845950	020.9	978-89129-589-2	978891295892	E_LEN
bsz	019219873	020.z	387584275	NA	E_MISS
bsz	27161093X	020.z	978920212230	978920212230	E_LEN
bsz	260830968	020.9	3-930742-12-B	393074212	E_LEN
bsz	377424277	020.z	M012177760	NA	E_MISS
bsz	326152482	020.z	54710029111	54710029111	E_LEN
bsz	097761877	020.9	3-421-3390-0	342133900	E_LEN
bsz	00250975X	020.9	07-037987-4	070379874	E_LEN
bsz	282486712	776.z	978020389543	978020389543	E_LEN
bsz	090076680	020.z	38270038X	NA	E_MISS
bsz	275474445	020.9	486-20999-7	486209997	E_LEN
bsz	114180695	020.9	399-115-72-2	399115722	E_LEN
bsz	272928445	020.z	978896061809	978896061809	E_LEN
bsz	063368226	020.9	83-9070079-0-X	8390700790X	E_LEN
bsz	360164951	020.9	7-8800-864-0	788008640	E_LEN
bsz	256484406	020.z	978936618914	978936618914	E_LEN
bsz	303656123	020.9	978-89-85952-10-193670	978898595210193670	E_LEN
bsz	352098082	020.9	87-7437-35	87743735	E_LEN
bsz	276394321	020.z	39800885311	39800885311	E_LEN
bsz	111378826	020.z	351827778	NA	E_MISS
bsz	004461126	020.z	326109527	NA	E_MISS
bsz	061255734	020.z	030077300	NA	E_MISS
bsz	090502345	020.z	392038051	NA	E_MISS
bsz	379441241	776.z	f	NA	E_MISS
bsz	103324135	020.z	012962052	NA	E_MISS
bsz	070923574	020.z	52294700241	52294700241	E_LEN
bsz	287842118	020.z	978302432553	978302432553	E_LEN
bsz	007098251	020.z	314167048	NA	E_MISS
bsz	378361287	020.z	884088564889	884088564889	E_LEN
bsz	109747976	020.z	392615464	NA	E_MISS
bsz	081718772	020.z	34862450507	34862450507	E_LEN
bsz	013382497	020.z	390027115	NA	E_MISS
bsz	326768203	020.z	97839411712705	97839411712705	E_LEN
bsz	040585867	020.9	90-5088-007-	905088007	E_LEN
bsz	302778365	776.z	978020389506	978020389506	E_LEN
bsz	022782532	020.z	344802121	NA	E_MISS
bsz	012120103	020.z	900471024	NA	E_MISS
bsz	303104414	020.9	3 85129-433-5	851294335	E_LEN
bsz	259651591	020.9	99912-96-2-8	999129628	E_LEN
bsz	068526229	020.z	156098619	NA	E_MISS
bsz	008163162	020.z	320571549	NA	E_MISS
bsz	087494809	020.9	3-9288878-56-5	39288878565	E_LEN
bsz	11019182X	020.9	81-7195-74-4	817195744	E_LEN
bsz	063449811	020.z	968168992	NA	E_MISS
bsz	035446374	020.9	3-8609-316-6	386093166	E_LEN
bsz	356261956	020.z	978387712488	978387712488	E_LEN
bsz	062734806	020.9	963-85152-036	96385152036	E_LEN
bsz	111985110	020.9	83-04-00-788-	830400788	E_LEN
bsz	055934552	020.z	392797291	NA	E_MISS
bsz	048186988	020.z	342411169	NA	E_MISS
bsz	070046697	020.9	5-86-004-123-	586004123	E_LEN
bsz	003384969	020.z	316320725	NA	E_MISS
bsz	038307324	020.9	3-11-00245-6	311002456	E_LEN
bsz	331920522	020.z	754020342	NA	E_MISS
bsz	03251753X	020.9	3-900-695-12-	390069512	E_LEN
bsz	322678056	020.9	3-376-000131-6	33760001316	E_LEN
bsz	31630736X	020.z	50041589	NA	E_MISS
bsz	276713931	020.9	2-9518198-1	295181981	E_LEN
bsz	036299235	020.9	88-14-0365-9	881403659	E_LEN
bsz	331899663	020.z	78057684545	78057684545	E_LEN
bsz	059759321	020.9	81-215-603-4	812156034	E_LEN
bsz	330334549	020.z	01300402901	01300402901	E_LEN
bsz	012302678	020.9	3-503-2595-2	350325952	E_LEN
bsz	02115998X	020.9	3-12-69107-X	31269107X	E_LEN
bsz	364754095	020.9	0003-5238	NA	E_MISS
bsz	350580146	020.z	978110261899	978110261899	E_LEN
bsz	00671739X	020.z	379110068	NA	E_MISS
bsz	027278867	020.9	0-415-0573-1	041505731	E_LEN
bsz	118517120	020.9	978-0387-2414	97803872414	E_LEN
bsz	036364541	020.9	3-492-1334-6	349213346	E_LEN
bsz	381134482	020.9	97836880060	97836880060	E_LEN
bsz	043018645	020.z	3267585	NA	E_MISS
bsz	256437653	020.9	0-07-00600-3	007006003	E_LEN
bsz	313635269	020.z	978895007125	978895007125	E_LEN
bsz	347103200	020.z	97833862430123	97833862430123	E_LEN
bsz	070311919	020.z	072870037	NA	E_MISS
bsz	098293028	020.9	0-7658-0097-	076580097	E_LEN
bsz	038963183	020.9	2-80783-18-5	280783185	E_LEN
bsz	112392628	020.z	839118888	NA	E_MISS
bsz	043117007	020.9	2-903-639-18-	290363918	E_LEN
bsz	111378826	020.9	3-518-2777-8	351827778	E_LEN
bsz	05320316X	020.9	3-447-3742-3	344737423	E_LEN
bsz	048711497	020.9	3-443-0911-7	344309117	E_LEN
bsz	324124023	020.z	02328127	NA	E_MISS
bsz	016780523	020.9	3-518-9141-7	351891417	E_LEN
bsz	329435280	020.9	7-5442-10669-2	75442106692	E_LEN
bsz	083157271	020.9	0-14-02-6023-	014026023	E_LEN
bsz	056657919	020.z	582420028	NA	E_MISS
bsz	307161331	020.z	1087876800X	1087876800X	E_LEN
bsz	09063263X	020.9	1-5848-213-1	158482131	E_LEN
bsz	302278133	020.9	978-2-296-0339-8	978229603398	E_LEN
bsz	287558878	020.z	978376393691	978376393691	E_LEN
bsz	080162347	020.9	3-451-4703-9	345147039	E_LEN
bsz	32639012X	776.z	978311023936	978311023936	E_LEN
bsz	011393661	020.9	471-79168-7	471791687	E_LEN
bsz	308998154	020.z	798868721119	798868721119	E_LEN
bsz	052514315	020.z	094302546	NA	E_MISS
bsz	273479229	020.9	0-5833-261-6	058332616	E_LEN
bsz	067555268	020.9	3-111791-5	31117915	E_LEN
bsz	260055263	020.9	978-8322-4518-4	978832245184	E_LEN
bsz	06194825X	020.9	90-7614-07-7	907614077	E_LEN
bsz	052155625	020.9	4-13-27028-1	413270281	E_LEN
bsz	003255719	020.9	3-16-32029-8	316320298	E_LEN
bsz	008961654	020.z	914103955	NA	E_MISS
bsz	047539240	020.z	39201171261	39201171261	E_LEN
bsz	329843044	020.z	978883179337	978883179337	E_LEN
bsz	381456250	020.z	978997408403	978997408403	E_LEN
bsz	352627379	020.z	CNDO3020078	NA	E_MISS
bsz	006101216	020.9	3-7913-422-3	379134223	E_LEN
bsz	057346208	020.9	0-691-9123-4	069191234	E_LEN
bsz	030147662	020.9	3-7649-2431-	376492431	E_LEN
bsz	012347361	020.z	311099187	NA	E_MISS
bsz	255280483	020.z	97835030795919	97835030795919	E_LEN
bsz	033917027	020.z	392737407S	NA	E_MISS
bsz	11886534X	020.z	97819928980	97819928980	E_LEN
bsz	056660707	020.9	3-451-4526-5	345145265	E_LEN
bsz	281745439	776.z	!30415105X!	NA	E_MISS
bsz	086392492	020.z	377609951	NA	E_MISS
bsz	022016740	020.9	90-6034-22-1	906034221	E_LEN
bsz	011012935	020.9	471-40575-2	471405752	E_LEN
bsz	030825547	020.z	087075259	NA	E_MISS
bsz	273479229	020.z	058332616	NA	E_MISS
bsz	056957246	020.9	0-646-2803-1	064628031	E_LEN
bsz	043559611	020.9	3-541-6396-3	354163963	E_LEN
bsz	120508087	020.z	97889670352	97889670352	E_LEN
bsz	11702242X	020.9	978-14051-267	97814051267	E_LEN
bsz	004157303	020.9	3-571-9104-8	357191048	E_LEN
bsz	042061555	020.9	2-8013-524-4	280135244	E_LEN
bsz	086727435	020.9	5-86280-64-6	586280646	E_LEN
bsz	091697026	020.9	95-678-158-2	956781582	E_LEN
bsz	380416522	020.z	978341023879	978341023879	E_LEN
bsz	056285957	020.z	316631057	NA	E_MISS
bsz	056659024	020.9	3-7952-140-3	379521403	E_LEN
bsz	017102294	020.9	2-7118-015-7	271180157	E_LEN
bsz	057998779	020.z	392867522	NA	E_MISS
bsz	119798948	020.z	97892415631922	97892415631922	E_LEN
bsz	322837103	020.z	07211058	NA	E_MISS
bsz	012509345	020.z	378810126	NA	E_MISS
bsz	080959253	020.z	38614019502	38614019502	E_LEN
bsz	284200530	020.9	978-88-317-9547	978883179547	E_LEN
bsz	382364503	020.9	978-3-092192-1	97830921921	E_LEN
bsz	259170372	020.z	MC111	NA	E_MISS
bsz	022490531	020.9	3-329-0611-0	332906110	E_LEN
bsz	28616972X	020.9	978-85604-463-9	978856044639	E_LEN
bsz	254116302	020.9	978-422-06603-8	978422066038	E_LEN
bsz	250347431	020.9	978-7705-3865-2	978770538652	E_LEN
bsz	062679686	020.z	571370445	NA	E_MISS
bsz	392372525	020.9	978-9522804-1-6	978952280416	E_LEN
bsz	106967673	020.9	2-90420200-01	29042020001	E_LEN
bsz	25365887X	020.9	978-13-137121-8	978131371218	E_LEN
bsz	116358564	020.9	3-937711-07-04	39377110704	E_LEN
bsz	019573030	020.9	3-89331-56-8	389331568	E_LEN
bsz	362530866	020.z	978593972824	978593972824	E_LEN
bsz	087300664	020.z	18737978X	NA	E_MISS
bsz	055514464	020.z	088184405	NA	E_MISS
bsz	010498583	020.z	344716604	NA	E_MISS
bsz	276854527	020.9	978-3-00-022887	978300022887	E_LEN
bsz	003060608	020.z	134516745	NA	E_MISS
bsz	005154367	020.z	X20002193X	X20002193X	E_CONV
bsz	293170444	020.z	080155766	NA	E_MISS
bsz	08695525X	020.9	0-393-5541-8	039355418	E_LEN
bsz	27431066X	020.z	978393457947	978393457947	E_LEN
bsz	308948726	020.z	978 0 85249 899 6	NA	E_MISS
bsz	284184896	020.z	582602467	NA	E_MISS
bsz	252562798	020.9	978-415-19244-6	978415192446	E_LEN
bsz	043783163	020.z	348705562	NA	E_MISS
bsz	343602156	020.9	7-23-00414-2	723004142	E_LEN
bsz	012509345	020.9	3-7881-0126	378810126	E_LEN
bsz	074606301	020.z	910307113	NA	E_MISS
bsz	280575106	020.z	101872843603	101872843603	E_LEN
bsz	267388381	020.9	80-7326-111-11	80732611111	E_LEN
bsz	041874285	020.z	392790128	NA	E_MISS
bsz	377847488	020.9	978-3-86345-0003-8	97838634500038	E_LEN
bsz	086502255	020.9	968-36-380-7	968363807	E_LEN
bsz	25501922X	020.9	978-934038-63-9	978934038639	E_LEN
bsz	042832225	020.z	155615165	NA	E_MISS
bsz	091903637	020.z	358401623431	358401623431	E_LEN
bsz	118143425	020.z	978896704962	978896704962	E_LEN
bsz	31494799X	020.9	978-3-022090-2	97830220902	E_LEN
bsz	044279213	020.9	3-18-09350-3	318093503	E_LEN
bsz	082110654	020.z	325290457	NA	E_MISS
bsz	260383880	020.9	978-3-7754-022-6	978377540226	E_LEN
bsz	117789380	020.z	0271616X	NA	E_MISS
bsz	004589777	020.z	378640463	NA	E_MISS
bsz	353459526	020.9	978-3-026345-9	97830263459	E_LEN
bsz	114477175	020.z	884891453	NA	E_MISS
bsz	33863908X	776.z	978155481955	978155481955	E_LEN
bsz	011087978	020.z	720423589	NA	E_MISS
bsz	05320316X	020.z	344737423	NA	E_MISS
bsz	120723409	020.z	359623296	NA	E_MISS
bsz	045548765	020.z	385400200	NA	E_MISS
bsz	070257507	020.9	83-7183-33-5	837183335	E_LEN
bsz	005990181	020.z	370012437	NA	E_MISS
bsz	066968194	020.z	875989159	NA	E_MISS
bsz	038813564	020.z	213041230	NA	E_MISS
bsz	019652925	020.9	3-7857-553-0	378575530	E_LEN
bsz	026042894	020.z	34923148X	NA	E_MISS
bsz	014286092	020.z	378283130	NA	E_MISS
bsz	016315197	020.z	390046473	NA	E_MISS
bsz	10759580X	020.9	3-90723-08-5	390723085	E_LEN
bsz	083873899	020.z	000272751	NA	E_MISS
